id,word,total_count
1,#DoOnlyGoodEveryday,3
2,Accepting Payment,13
3,Believe,7
4,Billboard,8
5,Buy,12
6,Cents,10
7,Coin,12
8,Community,5
9,Cryptocurrency,13
10,Dogecoin/Doge,185
11,Elon Musk,10
12,Engine,6
13,First,7
14,Friend,5
15,Future,6
16,Go/Going,18
17,Here,10
18,Hit,5
20,Hold/Hodl,27
21,Like,15
22,Look,12
23,Love,8
24,March,9
25,Market,4
26,Meme,3
27,Moon,36
28,New,4
29,One,10
30,Our,10
32,Rocket,6
33,SEC,7
34,Shiba,5
35,Soon,6
36,SpaceX,5
37,Time,9
38,Today,5
39,Together,3
40,Up,11
41,Wait,5
42,We,18
43,Week/Weekend,9
44,Rocket Ship Emoji 🚀🚀🚀,45
